timestamp,ticker,score
2022-05-18,SPY,1414
2022-05-18,AA,127
2022-05-19,TGT,168
2022-05-21,TSLA,6175
2022-05-23,ZM,294
2022-05-23,BBY,143
2022-05-23,SNAP,531
2022-05-24,SPX,271
2022-05-25,NVDA,818
2022-05-25,GME,1890
2022-05-26,F,166
2022-05-26,BABA,138
2022-05-27,PCE,105
2022-05-31,QT,223
2022-06-01,BA,166
2022-06-02,MSFT,144
2022-06-06,AAPL,292
2022-06-06,TWTR,573
2022-06-06,AMZN,430
2022-06-08,AMC,406
2022-06-08,NIO,143
2022-06-13,COIN,103
2022-06-14,PPI,143
2022-06-15,BP,180
2022-06-16,LCID,212
2022-06-16,SPX,211
2022-06-20,ARKK,221
2022-06-22,BYND,146
2022-06-27,HOOD,348
2022-06-28,PYPL,118
2022-06-29,BBBY,259
2022-06-30,WISH,107
2022-06-30,UPST,115
2022-06-30,MU,135
2022-06-30,CVNA,690
2022-07-03,QT,261
2022-07-05,AMC,487
2022-07-06,GME,3241
2022-07-07,TSLA,3809
2022-07-08,TWTR,847
2022-07-10,SPX,164
2022-07-11,SQQQ,243
2022-07-11,UVXY,158
2022-07-12,BMW,397
2022-07-14,JPM,141
2022-07-14,PPI,110
2022-07-14,AAPL,180
2022-07-14,TLRY,100
2022-07-16,NVDA,160
2022-07-17,RIVN,176
2022-07-18,NFLX,455
2022-07-19,INTC,111
2022-07-21,SNAP,734
2022-07-21,F,159
2022-07-25,WMT,206
2022-07-26,GOOG,417
2022-07-26,MSFT,405
2022-07-28,ROKU,100
2022-07-28,AMZN,426
2022-07-28,TQQQ,143
2022-07-31,V,322
2022-08-01,AMD,286
2022-08-01,HKD,222
2022-08-02,BMW,165
2022-08-02,SOFI,130
2022-08-03,LCID,116
2022-08-04,AMC,1336
2022-08-04,AA,102
2022-08-04,BBBY,451
2022-08-04,TLRY,333
2022-08-04,COIN,331
2022-08-08,BB,109
2022-08-08,BBY,134
2022-08-08,NVDA,270
2022-08-08,PLTR,189
2022-08-08,UPST,138
2022-08-08,GME,2075
2022-08-09,RBLX,156
2022-08-10,DIS,138
2022-08-11,ASTS,100
2022-08-11,RIVN,145
2022-08-14,AMTD,147
2022-08-15,WMT,145
2022-08-16,FUBO,602
2022-08-17,AAPL,214
2022-08-18,NET,958
2022-08-24,SOFI,119
2022-08-24,PTON,111
2022-08-25,BBBY,4540
2022-08-25,TLRY,116
2022-08-26,ZIM,214
2022-08-31,SNAP,120
2022-08-31,NVDA,372
2022-09-02,DTE,711
2022-09-03,NFLX,743
2022-09-04,TWTR,104
2022-09-04,BABA,322
2022-09-04,HKD,141
2022-09-05,ASTS,129
2022-09-05,INTC,144
2022-09-06,DWAC,229
2022-09-13,PPI,126
2022-09-13,SPX,412
2022-09-14,F,102
2022-09-16,SPY,1684
2022-09-16,AMZN,139
2022-09-19,BYND,156
2022-09-22,MSFT,113
2022-09-22,SAVA,127
2022-09-28,AAPL,372
2022-09-28,NFLX,192
2022-09-29,PLTR,103
2022-09-29,PCE,138
2022-10-01,TSLA,3048
2022-10-02,CS,224
2022-10-03,ZM,133
2022-10-04,TWTR,613
2022-10-05,INTC,173
2022-10-06,AMD,208
2022-10-06,TLRY,845
2022-10-09,PYPL,103
2022-10-11,PPI,118
2022-10-13,VIX,369
2022-10-16,APPL,279
2022-10-18,ABNB,765
2022-10-19,NFLX,589
2022-10-19,NIO,186
2022-10-20,SNAP,579
2022-10-21,F,570
2022-10-21,PLTR,208
2022-10-24,BABA,653
2022-10-25,MSFT,333
2022-10-25,GOOG,166
2022-10-26,AMZN,129
2022-10-26,TWTR,237
2022-10-26,AAPL,302
2022-10-26,FB,121
2022-10-27,INTC,208
2022-10-28,GM,201
2022-10-31,SOFI,675
2022-10-31,GME,1509
2022-11-01,AMD,334
2022-11-01,TLRY,168
2022-11-01,AMC,337
2022-11-03,PYPL,118
2022-11-03,COIN,216
2022-11-04,DKNG,115
2022-11-04,ASTS,583
2022-11-06,CVNA,286
2022-11-07,DWAC,230
2022-11-08,UPST,132
2022-11-08,TSLA,1716
2022-11-08,DIS,113
2022-11-11,SNAP,252
2022-11-11,SBF,186
2022-11-14,WMT,117
2022-11-14,PPI,145
2022-11-15,TSM,105
2022-11-15,SPX,241
2022-11-16,NVDA,759
2022-11-16,TGT,129
2022-11-16,PLTR,100
2022-11-20,VW,100
2022-11-20,BBBY,271
2022-11-20,F,141
2022-11-21,AAPL,311
2022-11-29,BB,355
2022-11-30,PCE,114
2022-11-30,BABA,187
2022-12-02,TSLA,2617
2022-12-02,SBF,540
2022-12-02,V,312
2022-12-04,QQQ,294
2022-12-05,TLRY,218
2022-12-05,CVNA,192
2022-12-06,TSM,112
2022-12-06,SPX,206
2022-12-07,ZIM,1184
2022-12-08,PPI,190
2022-12-14,COIN,231
2022-12-19,PYPL,102
2022-12-21,NFLX,256
2022-12-22,AMC,1146
2022-12-22,PCE,128
2022-12-22,SOFI,451
2022-12-23,TSLA,2485
2022-12-25,NVDA,237
2022-12-28,DTE,228
2022-12-28,BB,117
2022-12-28,BP,180
2022-12-28,SPX,281
2023-01-03,PLTR,102
2023-01-04,MSFT,116
2023-01-06,COIN,181
2023-01-11,BBBY,185
2023-01-12,CVNA,106
2023-01-16,BABA,144
2023-01-17,AMC,101
2023-01-18,PPI,282
2023-01-18,SPY,1942
2023-01-18,NFLX,186
2023-01-19,GME,187
2023-01-23,AMD,129
2023-01-24,PLTR,228
2023-01-25,MSFT,498
2023-01-26,FSD,155
2023-01-26,NVDA,363
2023-01-26,INTC,325
2023-01-27,TSLA,3676
2023-01-27,LCID,303
2023-01-29,F,162
2023-01-30,SOFI,129
2023-01-31,SNAP,442
2023-02-02,APPL,252
2023-02-02,VIX,207
2023-02-02,CVNA,188
2023-02-02,AMZN,553
2023-02-02,GOOG,132
2023-02-02,AAPL,894
2023-02-02,GM,138
2023-02-03,MVIS,103
2023-02-06,BBBY,376
2023-02-08,PYPL,111
2023-02-08,DIS,183
2023-02-09,NFLX,2012
2023-02-10,DTE,136
2023-02-11,WWE,199
2023-02-14,PLTR,242
2023-02-14,ABNB,201
2023-02-15,SPX,244
2023-02-15,SHOP,156
2023-02-15,ROKU,174
2023-02-16,PPI,183
2023-02-16,GME,117
2023-02-16,DKNG,102
2023-02-18,MSFT,138
2023-02-21,COIN,109
2023-02-22,NVDA,650
2023-02-22,INTC,205
2023-02-22,SQQQ,138
2023-02-27,AMC,252
2023-03-01,F,118
2023-03-01,CRM,237
2023-03-05,AMZN,229
2023-03-06,UBER,1034
2023-03-06,SOFI,182
2023-03-06,AAPL,218
2023-03-08,BUD,1201
2023-03-09,VIX,249
2023-03-10,JPM,192
2023-03-12,SIVB,140
2023-03-13,SCHW,176
2023-03-15,PPI,122
2023-03-15,FRC,211
2023-03-15,DWAC,362
2023-03-15,CS,381
2023-03-15,GME,360
2023-03-16,AMD,128
2023-03-17,BAC,165
2023-03-19,UBS,991
2023-03-22,COIN,105
2023-03-22,NVDA,768
2023-03-23,NFLX,149
2023-03-23,SQ,170
2023-03-25,F,179
2023-03-27,BABA,248
2023-03-28,LULU,112
2023-03-28,AMC,299
2023-03-28,WMT,337
2023-04-03,GM,105
2023-04-05,BUD,164
2023-04-09,EPA,833
2023-04-10,FRC,512
2023-04-11,Z,139
2023-04-11,APPL,601
2023-04-12,AAPL,255
2023-04-12,SPX,265
2023-04-12,PLTR,111
2023-04-14,JPM,129
2023-04-14,BA,356
2023-04-17,NFLX,102
2023-04-19,MSFT,163
2023-04-19,TSLA,1895
2023-04-22,F,102
2023-04-23,BBBY,376
2023-04-24,AMZN,125
2023-04-27,INTC,204
2023-04-27,GME,187
2023-04-27,SNAP,131
2023-04-29,RIVN,224
2023-05-01,FRC,2390
2023-05-01,SOFI,631
2023-05-02,AMC,192
2023-05-02,AMD,359
2023-05-03,PACW,284
2023-05-03,AAPL,166
2023-05-03,WAL,106
2023-05-05,APPL,166
2023-05-08,PYPL,120
2023-05-08,PLTR,286
2023-05-09,VIX,204
2023-05-09,ABNB,202
2023-05-09,UPST,100
2023-05-10,DIS,160
2023-05-11,HSBC,1523
2023-05-11,GOOG,159
2023-05-18,NFLX,138
2023-05-18,AMZN,177
2023-05-18,NVDA,978
2023-05-21,BABA,128
2023-05-23,AMD,166
2023-05-25,INTC,169
2023-05-25,ARKK,165
2023-05-26,QQQ,312
2023-05-30,PLTR,178
2023-05-30,TGT,120
2023-05-30,BUD,205
2023-05-31,SOFI,205
2023-05-31,CRM,102
2023-06-01,LULU,184
2023-06-02,VIX,274
2023-06-05,MVIS,135
2023-06-05,APPL,355
2023-06-05,AAPL,374
2023-06-07,GME,503
2023-06-08,CVNA,281
2023-06-09,TSLA,1173
2023-06-09,NFLX,256
2023-06-09,NIO,178
2023-06-11,LCID,345
2023-06-12,CCL,124
2023-06-12,BABA,396
2023-06-13,AMD,237
2023-06-14,NVDA,720
2023-06-14,RIVN,129
2023-06-15,SPCE,153
2023-06-15,NKLA,127
2023-06-15,ADBE,212
2023-06-17,INTC,111
2023-06-20,GRND,408
2023-06-26,DIS,178
2023-06-29,CVNA,118
2023-06-29,Z,133
2023-06-29,CAVA,103
2023-06-30,SOFI,163
2023-06-30,AAPL,227
2023-07-01,NFLX,189
2023-07-01,WMT,222
2023-07-02,PYPL,157
